Úroveň 1,Úroveň 2,Úroveň 3,Název (ČJ),Vysvětlení (ČJ),Příklady (ČJ),Term (EN),Explanation (EN),,,,,,,,,,,
A?,,,Stavební konstrukce,"konstrukční systém, který tvaruje vrstvenou konstrukci",,Assembly system,technical system which constitutes a layered construction,,,,,,,,,,,Stavební konstrukce
,AA,,Konstrukce vozovky,"stavební konstrukce, která tvoří prostor pro dopravu",svrchní vrstva komunikace,Pavement construction,assembly system forming areas for transport,,,,,,,,,,,konstrukce vozovky
,AB,,Základ stavby,"stavební konstrukce, která tvoří oddělení vůči zemní pláni","základová deska, základový pas, základová patka, hatě",Foundation construction,assembly system forming separation towards underground,,,,,,,,,,,základ stavby
,AC,,Stropní konstrukce,"stavební konstrukce, která tvoří horizontální oddělení","klenba, spřažený nosník, trámový nosník, prefabrikovaný nosník",Slab construction,assembly system forming horizontal separation,,,,,,,,,,,stropní konstrukce
,AD,,Konstrukce stěn,"stavební konstrukce, která tvoří vertikální oddělení nebo tvoří nesouvislou vertikální oporu","pohyblivá stěna, sendvičová stěna, zděná stěna",Wall construction,assembly system forming vertical separation,,,,,,,,,,,konstrukce stěn
,AE,,Střešní konstrukce,"stavební konstrukce, která ukončuje stavební dílo sěrem vzhůru","spřažený nosník střešní konstrukce, trámový nosník střešní konstrukce, prefabrikovaný nosník střešní konstrukce, klenba střešní konstrukce",Roof construction,assembly system terminating a construction entity upwards,,,,,,,,,,,střešní konstrukce
,AF,,Konstrukce schodiště,"stavební konstrukce, která stupni spojuje dvě nebo více úrovní","schodiště se schodnicemi, schodiště bez schodnic, prefabrikované schodiště, masivní schodiště",Stairway construction,assembly system establishing a step-wise link between two or more levels,,,,,,,,,,,konstrukce schodiště
,AG,,Konstrukce rampy,"stavební konstrukce, která spojuje dvě nebo více úrovní beze stupňů","zabudovaná rampa, samonosná rampa",Ramp construction,assembly system establishing a step-free link between two or more levels,,,,,,,,,,,konstrukce rampy
,AH,,Vyčnívající stavební konstrukce,"stavební konstrukce, která tvoří prostor navazující směrem ven, zabudován do konstrukce zdí nebo střechy","prefabrikovaná vyčnívající konstrukce, trámová vyčnívající konstrukce, pohyblivá vyčnívající konstrukce",Balcony,assembly system that creates an adjoining outer user space built into wall system or roof system,,,,,,,,,,,vyčnívající stavební konstrukce
,AJ,,Arkýř,"stavební konstrukce, která tvoří zvětšení vnitřního prostoru, zabudováno do konstrukce zdí",arkýř,Bay window,assembly system that creates an extended inner user space built into wall system,,,,,,,,,,,arkýř
,AK,,Vikýř,"stavební konstrukce, která tvoří zvětšení vnitřního prostoru, zabudováno do konstrukce střechy",vikýř,Dormer,assembly system that creates an extended inner user space built into roof system,,,,,,,,,,,vikýř
,AL,,Střešní věž,"stavební konstrukce, která tvoří zvětšení vnitřního prostoru, budováno nad konstrukcí střechy nebo stavebního díla",střešní věž,Roof tower,assembly system that creates an extended inner user space built on top of roof system or construction entity,,,,,,,,,,,střešní věž
,AM,,Světlík,"stavební konstrukce, která tvoří zvětšení prostoru pro přenos světla",světlík,Light well,assembly system that creates an extended space for light transmission,,,,,,,,,,,světlík
B?,,,Nosná konstrukce,"konstrukční systém, který má nosnou nebo stabilizující funkci",,Structural system,technical system which forms structural construction,,,,,,,,,,,Nosná konstrukce
,BA,,Podloží,"nosná konstrukce, která tvoří uzpůsobené objemy zeminy",stávající podloží,Groundworks structure,structural system forming a regulated volume of underground,,,,,,,,,,,podloží
,BB,,Základy,"nosná konstrukce, která spojuje stavební dílo se zemní plání",základová deska,Foundation structure,structural system connecting a construction entity with the underground,,,,,,,,,,,základy
,BC,,Nosníky,nosná konstrukce v horizontálním oddělení,mostní nosník,Slab structure,structural system in a horizontal separation,,,,,,,,,,,nosníky
,BD,,Stěny,nosná konstrukce ve vertikálním oddělení,"vnější stěny, vnitřní stěny budov",Wall structure,structural system in a vertical separation,,,,,,,,,,,stěny
,BE,,Střechy,"nosná konstrukce, která ukončuje stavební dílo směrem vzhůru",střešní konstrukce,Roof structure,structural system terminating a construction entity upwards,,,,,,,,,,,střechy
,BF,,Podlahy,"nosná konstrukce, která ukončuje prostor směrem dolů","hrubá podlaha, záklop",Floor structure,structural system terminating a space downwards,,,,,,,,,,,podlahy
,BG,,Stropy,"nosná konstrukce, která ukončuje prostor směrem vzhůru","strop, podhledy",Ceiling structure,structural system terminating a space upwards,,,,,,,,,,,stropy
,BH,,Vedení kabelových sítí,"nosná konstrukce, která podpírá nebo vynáší distribuční systémy","otevřené vedení kabelových sítí, uzavřené vedení kabelových sítí, nadzemní vedení kabelových sítí, podzemní vedení kabelových sítí",Routing structure,structural system supporting supply or distribution system,,,,,,,,,,,vedení kabelových sítí
C?,,,Zemní konstrukce,"konstrukční systém, který tvaruje prostory na, v nebo pod zemí",,Ground surface construction system,technical construction system forming ground-based areas,,,,,,,,,,,Zemní konstrukce
,CA,,Zemní pláň,"zemní konstrukce, která podpírá další konstrukce","vyztužená zemní pláň, výškově urovnaná zemní pláň, zemní pláň na pilotech",Subgrade construction,ground surface construction system which gives support to other constructions,,,,,,,,,,,zemní pláň
,CB,,Svrchní stavba vozovky,zemní konstrukce pro zpevněné venkovní prostory,"netuhá svrchní stavba, tuhá svrchní stavba",Ground superstructure construction,ground surface construction system for hard covered outdoor space,,,,,,,,,,,svrchní stavba vozovky
,CC,,Svrchní stavba pro silniční ostrůvek,zemní konstrukce ve vozovce na ochranu chodců nebo pro řízení dopravy v křižovatce,"netuhá svrchní stavba, tuhá svrchní stavba",Traffic island construction,ground surface construction system for traffic separation area,,,,,,,,,,,svrchní stavba pro silniční ostrůvek
,CD,,Svrchní stavba krajnice,zemní konstrukce jako bezpečnostní zóna pro dopravu,"svah, střední dělcí pás, krajnice",Side area construction,ground surface construction system for safety zone for traffic,,,,,,,,,,,svrchní stavba krajnice
,CE,,Spodní stavba drážního tělesa,"zemní konstrukce, která tvoří podklad pro svrchní stavbu drážního tělesa","na náspu, v ulici, v tunelu, na mostě",Railway embankment construction,ground surface construction system for railway track support,,,,,,,,,,,spodní stavba drážního tělesa
,CF,,Svrchní stavba vegetačních ploch,zemní konstrukce pro vegetační plochy,"pochozí vegetační plochy, nepochozí vegeteční plochy, zasakovací vegetační plochy, výsadbová jáma, truhlík",Vegetation area construction,ground surface construction system for vegetation areas,,,,,,,,,,,svrchní stavba vegetačních ploch
,CG,,Vodohospodářské objekty,"zemní konstrukce pro dopravu, uložení nebo vsakování vody, nebo která tvoří prostory u vody nebo přes vodu","netuhá konstrukce, tuhá konstrukce, zasakovací vodohospodářský objekt, izolační a odvodňovací konstrukce, konstrukce vodního tunelu",Water management construction,"ground surface construction system for transport, storage or infiltration of water, or for space along water or over water",,,,,,,,,,,vodohospodářské objekty
,CH,,Výkopy pro potrubí,zemní konstrukce pro technické systémy,výkop pro potrubí,Pipe ditch system,ground surface construction system for refilled media excavation,,,,,,,,,,,výkopy pro potrubí
,CJ,,Základové a opěrné konstrukce,"zemní konstrukce, která nese vertikální nebo horizontální zátěž","konstrukce opěrné zdi, konstrukce přehradní stěny, konstrukce základu, konstrukce mola",Foundation and ground support construction,ground surface construction system which carries vertical or horizontal load,,,,,,,,,,,základové a opěrné konstrukce
,CK,,Kostrukce venkovních schodišť/ramp,"zemní konstrukce, která spojuje prostory různých výšek","konstrukce venkovního schodiště, konstrukce venkovní rampy",Terrain stairway/Terrain ramp construction,ground surface construction system which connects spaces at different levels,,,,,,,,,,,kostrukce venkovních schodišť/ramp
,CL,,Konstrukce opěrných zdí,"zemní konstrukce, která odděluje prostory","opěrná zeď, hřbitovní zeď",Terrain wall construction,ground surface construction system which separates spaces,,,,,,,,,,,konstrukce opěrných zdí
D?,,,Svrchní stavba drážního tělesa,"konstrukční systém, který vede kolejová vozidla",,Railway system,technical system which guides rail bound vehicles,,,,,,,,,,,svrchní stavba drážního tělesa
,DA,,Štěrkové lože svrchní stavby drážního tělesa,svrchní stavba drážního tělesa s dvěmi kolejemi se štěrkovým ložem,"kolejová pole na štěrkovém loži, výhybka na štěrkovém loži, dilatační zařízení na štěrkovém loži",Ballasted railway track construction,"railway track construction system with two rails, on ballast",,,,,,,,,,,štěrkové lože svrchní stavby drážního tělesa
,DB,,Pevná jízdní dráha,svrchní stavba drážního tělesa s dvěmi kolejemi bez štěrkového lože,"kolejová pole na pevné jízdní dráze, výhybky na pevné jízdní dráze, dilatační zařízení na pevní jízdní dráze",Non-ballasted railway track construction,"railway track construction system with two rails, without ballast",,,,,,,,,,,pevná jízdní dráha
,DC,,Monorail,svrchní stavba drážního tělesa s jednou kolejí,monorail,Monorail construction,railway track construction system with one rail,,,,,,,,,,,Monorail
H?,,,Systém napájení,"konstrukční systém, který zásobuje odběr",,Supply system,technical system supplying consumption,,,,,,,,,,,systém napájení
,HA,,Systém přívodu plynu a vzduchu,systém napájení pro plyn a technický vzduch,systém přívodu plynu a vzduchu,Gas and air supply system,supply system for process gas,,,,,,,,,,,systém přívodu plynu a vzduchu
,HB,,Systém přívodu kapalin,systém napájení pro tekutinu,systém přívodu kapalin,Liquid supply system,supply system for liquid,,,,,,,,,,,systém přívodu kapalin
,HC,,Systém přívodu chlazení,systém napájení pro chlazení,"chladírenský systém, systém dálkového chlazení, systém druhotného využití odpadního chladu",Cooling supply system,supply system for cooling,,,,,,,,,,,systém přívodu chlazení
,HD,,Systém přívodu tepla,systém napájení pro ohřev,"systém druhotného využití odpadního tepla, systém tepelného čerpadla, systém solárního vytápění, systém dálkového vytápění, spalovna, jaderná teplárna",Heating supply system,supply system for heating,,,,,,,,,,,systém přívodu tepla
,HE,,Kombinované systémy vytápění a chlazení,systém napájení pro kombinovaný ohřev a chlazení,tepelné čerpadlo,Combined heating and cooling supply system,supply system for cooling and heating,,,,,,,,,,,Kombinované systémy vytápění a chlazení
,HF,,Systém přívodu ventilace,systém napájení pro mechanický tok vzduchu,"klimatizační zařízení, nucený odvod kouře",Ventilation supply system,supply system for ventilation,,,,,,,,,,,systém přívodu ventilace
,HG,,Systém dodávky elektrické energie,systém napájení pro elektrickou energii,"systém dodávky vysokého napětí, systém dodávky středního napětí, systém dodávky nízkého napětí, systém dodávky velmi nízkého napětí",Power supply system,supply system for electrical energy,,,,,,,,,,,systém dodávky elektrické energie
,HH,,Systém osvětlení,systém napájení pro osvětlení,"elektrický systém osvětlení, systém osvětlení dením světlem, plynový systém osvětlení, kapalinový systém osvětlení",Lighting system,supply system for lighting,,,,,,,,,,,Systém osvětlení
,HJ,,Systém dodávky signálu,systém napájení pro signál,systém dodávky signálu,Signal supply system,supply system for signals,,,,,,,,,,,Systém dodávky signálu
J?,,,Dopravní systémy,"konstrukční systém, který dopravuje z jednoho místa na jiné",,Transporting system,technical system which brings something from one place to another,,,,,,,,,,,Dopravní systémy
,JA,,Distribuce plynů,dopravní systém pro plyn,systém distribuce plynu,Gas distribution system,transport system for gas,,,,,,,,,,,distribuce plynů
,JB,,Distribuce vody,dopravní systém pro vodu,"systém rozvodu vody, systém cirkulace vody, rozvod požární vody",Water distribution system,transport system for water,,,,,,,,,,,distribuce vody
,JC,,Systém rozvodu chemických látek,dopravní systém pro hořlavé látky a další chemikálie,systém rozvodu chemických látek,Chemical distribution system,transport system for flammable or other chemical liquids,,,,,,,,,,,systém rozvodu chemických látek
,JD,,Systém odvodu kanalizace,dopravní systém pro odpadní vodu,"systém gravitační kanalizace, systém tlakové kanalizace",Liquids outflow system,transport system for liquid waste,,,,,,,,,,,systém odvodu kanalizace
,JE,,Systém odvodu odpadu,dopravní systém pro pevný odpad,"hvozový systém sběru odpadu, vakuový systém sběru odpadu, mechanický systém sběru odpadu",Solids outflow system,transport system for solid waste,,,,,,,,,,,systém odvodu odpadu
,JF,,Distribuční systém chlazení,dopravní systém pro chlazení,"primární chladící systém, sekundární chladící systém",Cooling distribution system,transport system for cooling,,,,,,,,,,,distribuční systém chlazení
,JG,,Distribuční systém vytápění,dopravní systém pro ohřev,"primární systém vytápění, sekundární systém vytápění, systém elektrického vytápění, distribuční systém vzduchového vytápění, distribuční systém parního vytápění, distribuční systém olejového vytápění, systém chladícího média",Heating distribution system,transport system for heating,,,,,,,,,,,distribuční systém vytápění
,JH,,Kombinované systémy distribuce tepla a chladu,dopravní systém pro chlazení a ohřev,kombinovaný systém distribuce tepla a chladu,Combined heat and cooling distribution system,transport system for cooling and heating,,,,,,,,,,,Kombinované systémy distribuce tepla a chladu
,JJ,,Systém distribuce vzduchu,dopravní systém pro vzduch,"systém rozvodu venkovního vzduchu, systém přívodu vzduchu, systém odvodu vzduchu, systém recyklovaného vzduchu, odvod přebytečného vzduchu, odvzdušňovací systém, odtahový ventilační systém",Air distribution system,transport system for air,,,,,,,,,,,systém distribuce vzduchu
,JK,,Systém distribuce elektrické energie,dopravní systém pro elektrickou energii,"systém distribuce vysokého napětí, středního napětí, nízkého napětí, velmi nízkého napětí",Power distribution system,transport for electrical energy,,,,,,,,,,,systém distribuce elektrické energie
,JL,,Distribuční systém signálu,dopravní systém pro signály,"systém kabelového elektromagnetického signálu, systém optického kabelového signálu, bezdrátový signální systém, indukční signální systém",Signal distribution system,transport system for signals,,,,,,,,,,,distribuční systém signálu
,JM,,Systém dopravy osob,dopravní systém pro osoby,"nepřetržitý systém dopravy osob, jednotlivý systém dopravy osob",Passenger transportation system,transport system for persons,,,,,,,,,,,systém dopravy osob
,JN,,Systém dopravy věcí,dopravní systém pro věci,"nepřetržitý systém dopravy věcí, jednotlivý systém dopravy věcí",Goods transportation system,transport system for solid goods or packets,,,,,,,,,,,systém dopravy věcí
K?,,,Zpracující systémy,"konstrukční systém, který něco zpracovává",,Treatment system,technical system which provides treatment,,,,,,,,,,,Zpracující systémy
,KA,,Systém pro odstínění kliatických vlivů,"zpracující systém, který omezuje nebo zamezuje vliv klimatických podmínek","systémy zaznamenávající světlo, systémy chránící před větrem, odhlučňovací systémy, systémy chránící proti dešti, systémy chránící proti sněhu",Solar screening system,treatment system limiting or excluding solar heat gain,,,,,,,,,,,systém pro odstínění kliatických vlivů
,KB,,Systém kontroly otevření,zpracující systém pro automatickou kontrolu otvorů,"kouřový a požární ventilační systém, systém přirozeného odvodu kouře",Opening control system,treatment system for automatic control of openings,,,,,,,,,,,systém kontroly otevření
,KC,,Čistící systém,zpracující systém pro čištění toku tekutin nebo vzduchu,"mechanický čistící systém, chemický čistící systém",Filter system,treatment system for separating solid particles from liquid or air flow,,,,,,,,,,,čistící systém
,KD,,Separační systém,zpracující systém pro separaci látek,"mechanický separační systém, chemický separační systém",Separator system,treatment system for separating substances,,,,,,,,,,,separační systém
,KE,,Směšovací systém,zpracující systém pro přidávání látek,směšovací systém,Mixing system,treatment system for adding substances,,,,,,,,,,,směšovací systém
,KF,,Systém čerpání,zpracující systém pro zvýšení tlaku toku kapaliny,čerpadlo,Pump system,treatment system for increasing pressure in a flow of liquid,,,,,,,,,,,systém čerpání
,KG,,Tlakový a expanzní systém,zpracující systém pro stabilizaci tlaku a objemu toku kapaliny nebo vzduchu,tlakový a expanzní systém,Pressure and expansion system,treatment system for stabilizing pressure and volume in liquid or in gas flow,,,,,,,,,,,tlakový a expanzní systém
,KH,,Transformační systém,"zpracující systém, který přeměňuje elektrickou energii","systém transformace napětí, kompenzační systém, měnič kmitočtu, proudový měnič",Transformer system,treatment system for transforming electrical energy,,,,,,,,,,,transformační systém
,KJ,,Systém antén,zpracující systém pro obousměrnou přeměnu mezi radiovými vlnami a elektrickými signály,"vysílací anténa, přijímací anténa",Antenna system,treatment system for bidirectional transforming between radio waves and electrical signals,,,,,,,,,,,systém antén
,KK,,Systém hlídání počasí a vnějšího prostředí,"zpracující systém, který přeměňuje informace o počasí a vnějším prostředí na elektrické signály","systém varování před větrem, systém varování před ledovkou, systém měření podmínek vnějšího prostředí",Weather station system,treatment system for transforming weather-related information into electrical signals,,,,,,,,,,,systém hlídání počasí a vnějšího prostředí
,KL,,Systém řízení vstupu,"zpracující systém, který fyzicky odděluje průchod osob",,Access control system,treatment system for physical separation of a flow of persons or items,,,,,,,,,,,systém řízení vstupu
L?,,,"Systémy monitorování, řízení a regulace",konstrukční systém pro manuální nebo automatizované rozpoznání a/nebo ovlivnění událostí a procesů,,Monitoring and control system,technical system which monitors and/or controls events and processes,,,,,,,,,,,"systémy monitorování, řízení a regulace"
,LA,,Systém plynového alarmu,"systém monitorování, řízení a regulace, který hlásí v případě úniku plynu",alarm úniku plynu,Gas alarm system,monitoring system which raises an alarm on the occurrence of hazardous gases,,,,,,,,,,,systém plynového alarmu
,LB,,Systém pořárního alarmu,"systém monitorování, řízení a regulace, který hlásí v případě požáru",požární alarm,Fire alarm system,monitoring system which raises an alarm in the presence smoke or fire,,,,,,,,,,,systém pořárního alarmu
,LC,,Integrovaný systém automatizace,"systém monitorování, řízení a regulace pro jeden nebo více procesů v centrální jednotce","systém řízení a regulace, řídící systém",Automation system,monitoring system which automates processes in buildings and process plants in a central unit,,,,,,,,,,,integrovaný systém automatizace
,LD,,Systém sledování vstupu a průchodu,"systém monitorování, řízení a regulace pro autorizovaný přístup","systém kontroly dveří, systém kontroly vstupu",Access monitor system,monitoring system which ensures authorized access for persons to an area or a construction entity,,,,,,,,,,,systém sledování vstupu a průchodu
,LE,,Bezpečnostní systém,"systém monitorování, řízení a regulace, který hlásí v případě nebezpečné nebo nežádoucí situace","systém hlášení chyby, hlášení úniku kapalin, evakuační alarm, alarm u předmětů, alarm pro železniční dopravu",Alarm system,monitoring technical system that raises an alarm in the presence of dangerous or undesirable conditions,,,,,,,,,,,Bezpečnostní systém
,LF,,Systém dálkového sledování,"systém monitorování, řízení a regulace, který poskytuje dálkově odečtená data","kamerový systém, radarový systém, systém odposlechu, systém hlídání hmotnosti, kombinovaný sledovací systém",Video surveillance system,monitoring system which provides remote visual monitoring,,,,,,,,,,,Systém dálkového sledování
M?,,,Informační systém,konstrukční systém pro prezentaci informací,,Information presenting system,technical system which presents information,,,,,,,,,,,Informační systém
,MA,,Varovný systém,"informační systém, který generuje pevný, stanovený signál nebo hlasovou zprávu jako varování před nebezpečnými nebo nežádoucími podmínkami","systém varovného zvuku a/nebo světla, varovný systém s nahraným signálem",Warning system,information presenting system which produces a fixed sound or voice messages to warn of hazardous conditions,,,,,,,,,,,varovný systém
,MB,,Audio-video systém,"informační systém, který generuje zvuk a/nebo obraz","integrovaný audio-vizuální systém, zvukový systém, obrazový systém",Audio-Video system,information presenting system which produces images and/or sounds,,,,,,,,,,,Audio-video systém
,MC,,Systém řízení provozu,informační systém pro řízení dopravy,"systém s pevným světelným značením, systm s variabilními zvukovými signály, systém se zvukovými signály",Traffic control system,information presenting system which controls traffic,,,,,,,,,,,systém řízení provozu
,MD,,Systém hlášení času,informační systém času,systém hlášení času,Time system,information presenting system for time,,,,,,,,,,,systém hlášení času
,ME,,Systém značek,informační systém v písemné podobě nebo za pomoci symbolů,"systém pevných značek, systém variabilních značek, značení",Sign system,information presenting system which provides instruction in a written or symbolic form,,,,,,,,,,,systém značek
P?,,,Ochranný systém,"konstrukční systém, který aktivně chrání proti nebezpečí nebo nežádoucímy stavy",,Protection system,self-acting technical system which protects against danger or unwanted conditions,,,,,,,,,,,Ochranný systém
,PA,,Protipožární systém,"ochranný systém, který otevírá nebo zavírá dveře a okna při požáru","systém uzavírání požárních dveří, systém kontroly výskytu kouře",Fire protection system,protection system by opening or closing doors and windows in the event of a fire,,,,,,,,,,,protipožární systém
,PB,,Systém hašení požáru,ochranný systém proti požáru pomocí zhášení,"systém požární vody, systém pro pěnotvorné hasivo, systém pro plynové hasivo, systém pro práškové hasivo",Firefighting system,protection system against fire by extinguishing,,,,,,,,,,,systém hašení požáru
,PC,,Uzemňovací soustava,ochranný systém proti nebezpečným elektrickým proudům pomocí uzemnění elektrických systémů ,systém vyrovnání potenciálu,Earthing system,protection system against dangerous electrical currents by earthing of electrical systems,,,,,,,,,,,uzemňovací soustava
,PD,,Systém ochrany proti přepětí,ochranný systém proti elektrickému přepětí,bleskosvod,Lightning protection system,protection system against lightning by earthing of electrical systems,,,,,,,,,,,Systém ochrany proti přepětí
,PE,,Systém katodové protikorozní ochrany,ochranný systém pro kovy proti korozi,systém katodové protikorozní ochrany,Cathodic protection system,protection system for metal constructions against corrosion by corrosion protection,,,,,,,,,,,Systém katodové protikorozní ochrany
Q?,,,Úložný systém,"konstrukční systém, který ukládá informace, energii nebo hmotu",,Storage system,"technical system which stores information, energy or substances",,,,,,,,,,,Úložný systém
,QA,,Systém ukládání dat,úložný systém pro data,systém ukládání dat,Meter system,storage system for metered consumption information,,,,,,,,,,,systém ukládání dat
,QB,,Systém ukládání plynu a vzduchu,úložný systém pro vzduch a plyny,ukládání plynu a vzduchu,Gas and air storage system,storage system for air and gases,,,,,,,,,,,systém ukládání plynu a vzduchu
,QC,,Systém ukládání kapalin,úložný systém pro kapaliny,ukládání kapalin,Liquid storage system,storage system for liquids,,,,,,,,,,,systém ukládání kapalin
,QD,,Systém ukládání energie,úložný systém pro energii,ukládání energie,Energy storage system,storage system for energy,,,,,,,,,,,systém ukládání energie
R?,,,Doplňkový systém,"konstrukční systém, který vybavuje prostory nebo stavební části stavebního díla",,Furnishing system,technical system which fits out space or construction elements in a construction entity,,,,,,,,,,,Doplňkový systém
,RA,,Výsadba,doplňkový systém v podobě rostlin,výsadba,Planting system,furnishing system in the form of vegetation,,,,,,,,,,,výsadba
,RB,,"Vybavení, doplňky","doplňkový systém v podobě zařízení a předmětů, které umožňují činnost ale nejsou její aktivní součástí","úložné jednotky, stoly, židle, textílie, postele, obrazy, obrazovky",Furniture system,furnishing system in the form of fixed or moveable construction elements,,,,,,,,,,,"vybavení, doplňky"
,RC,,Zařízení,"doplňkový systém v podobě zařízení a předmětů, které jsou pro danou činnost potřebné a jsou v ní aktivně využívány","kuchyňské zařízení, úklidové vybavení, sportovní vybavení, hračky",Equipment system,furnishing system in the form of tools used in a particular situation,,,,,,,,,,,zařízení
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
